# Profil de Blasius - Comparaison 3 methodes
# Equation : f''' + 0.5*f*f'' = 0
# CL : f(0)=f'(0)=0, f'(inf)=1
# Parametre de similarite : eta = psi * sqrt(U_inf / (nu * xi))
# Vitesse normalisee : u/U_inf = f'(eta)
#
# Colonnes : eta  f'_RK4  f'_RK2  f'_Euler  f_RK4  f''_RK4
#
0.430000  0.14270618  0.14270593  0.14233491  0.03069195  0.33132767
0.435000  0.14436275  0.14436250  0.14398731  0.03140962  0.33130195
0.440000  0.14601919  0.14601895  0.14563958  0.03213558  0.33127564
0.445000  0.14767550  0.14767526  0.14729173  0.03286981  0.33124872
0.450000  0.14933168  0.14933143  0.14894374  0.03361233  0.33122119
0.455000  0.15098772  0.15098746  0.15059563  0.03436313  0.33119305
0.460000  0.15264361  0.15264335  0.15224737  0.03512221  0.33116429
0.465000  0.15429936  0.15429910  0.15389898  0.03588957  0.33113489
0.470000  0.15595496  0.15595470  0.15555044  0.03666520  0.33110486
0.475000  0.15761041  0.15761014  0.15720175  0.03744912  0.33107419
0.480000  0.15926570  0.15926543  0.15885292  0.03824131  0.33104287
0.485000  0.16092083  0.16092057  0.16050393  0.03904177  0.33101089
0.490000  0.16257581  0.16257554  0.16215479  0.03985051  0.33097825
0.495000  0.16423061  0.16423034  0.16380549  0.04066753  0.33094494
0.500000  0.16588525  0.16588498  0.16545602  0.04149282  0.33091096
0.505000  0.16753972  0.16753945  0.16710639  0.04232638  0.33087629
0.510000  0.16919402  0.16919374  0.16875660  0.04316822  0.33084093
0.515000  0.17084813  0.17084785  0.17040663  0.04401832  0.33080488
0.520000  0.17250206  0.17250178  0.17205648  0.04487670  0.33076812
0.525000  0.17415581  0.17415553  0.17370615  0.04574334  0.33073066
0.530000  0.17580937  0.17580908  0.17535564  0.04661826  0.33069247
0.535000  0.17746273  0.17746245  0.17700495  0.04750144  0.33065357
0.540000  0.17911590  0.17911561  0.17865406  0.04839288  0.33061394
0.545000  0.18076887  0.18076858  0.18030298  0.04929259  0.33057357
0.550000  0.18242164  0.18242134  0.18195171  0.05020057  0.33053246
0.555000  0.18407420  0.18407390  0.18360023  0.05111681  0.33049061
0.560000  0.18572654  0.18572624  0.18524855  0.05204131  0.33044799
0.565000  0.18737867  0.18737837  0.18689666  0.05297408  0.33040462
0.570000  0.18903059  0.18903028  0.18854456  0.05391510  0.33036048
0.575000  0.19068228  0.19068197  0.19019224  0.05486438  0.33031556
0.580000  0.19233374  0.19233344  0.19183971  0.05582192  0.33026986
0.585000  0.19398498  0.19398467  0.19348695  0.05678772  0.33022338
0.590000  0.19563597  0.19563566  0.19513396  0.05776177  0.33017610
0.595000  0.19728673  0.19728642  0.19678074  0.05874408  0.33012802
0.600000  0.19893725  0.19893694  0.19842729  0.05973464  0.33007913
0.605000  0.20058752  0.20058721  0.20007359  0.06073345  0.33002943
0.610000  0.20223755  0.20223723  0.20171966  0.06174051  0.32997891
0.615000  0.20388731  0.20388699  0.20336547  0.06275582  0.32992756
0.620000  0.20553682  0.20553650  0.20501104  0.06377939  0.32987538
0.625000  0.20718606  0.20718574  0.20665635  0.06481119  0.32982236
0.630000  0.20883504  0.20883472  0.20830140  0.06585125  0.32976850
0.635000  0.21048375  0.21048342  0.20994619  0.06689954  0.32971378
0.640000  0.21213218  0.21213185  0.21159071  0.06795608  0.32965821
0.645000  0.21378033  0.21378000  0.21323495  0.06902086  0.32960177
0.650000  0.21542819  0.21542786  0.21487892  0.07009389  0.32954446
0.655000  0.21707577  0.21707544  0.21652261  0.07117515  0.32948627
0.660000  0.21872306  0.21872272  0.21816602  0.07226464  0.32942720
0.665000  0.22037004  0.22036970  0.21980913  0.07336238  0.32936724
0.670000  0.22201673  0.22201639  0.22145195  0.07446834  0.32930638
0.675000  0.22366310  0.22366276  0.22309448  0.07558254  0.32924462
0.680000  0.22530917  0.22530883  0.22473670  0.07670497  0.32918195
0.685000  0.22695492  0.22695458  0.22637861  0.07783563  0.32911837
0.690000  0.22860035  0.22860001  0.22802021  0.07897452  0.32905387
0.695000  0.23024546  0.23024511  0.22966149  0.08012164  0.32898843
0.700000  0.23189024  0.23188989  0.23130246  0.08127698  0.32892207
0.705000  0.23353468  0.23353433  0.23294310  0.08244054  0.32885476
0.710000  0.23517878  0.23517843  0.23458341  0.08361232  0.32878651
0.715000  0.23682254  0.23682219  0.23622338  0.08479233  0.32871731
0.720000  0.23846595  0.23846560  0.23786301  0.08598055  0.32864715
0.725000  0.24010901  0.24010865  0.23950230  0.08717698  0.32857602
0.730000  0.24175171  0.24175135  0.24114124  0.08838164  0.32850392
0.735000  0.24339405  0.24339369  0.24277983  0.08959450  0.32843085
0.740000  0.24503602  0.24503566  0.24441806  0.09081558  0.32835679
0.745000  0.24667762  0.24667725  0.24605592  0.09204486  0.32828175
0.750000  0.24831884  0.24831847  0.24769342  0.09328235  0.32820571
0.755000  0.24995967  0.24995930  0.24933054  0.09452805  0.32812867
0.760000  0.25160012  0.25159975  0.25096729  0.09578195  0.32805062
0.765000  0.25324018  0.25323981  0.25260365  0.09704405  0.32797156
0.770000  0.25487983  0.25487946  0.25423962  0.09831435  0.32789148
0.775000  0.25651909  0.25651872  0.25587520  0.09959285  0.32781037
0.780000  0.25815794  0.25815756  0.25751039  0.10087954  0.32772824
0.785000  0.25979637  0.25979599  0.25914516  0.10217443  0.32764507
0.790000  0.26143439  0.26143401  0.26077953  0.10347750  0.32756085
0.795000  0.26307198  0.26307160  0.26241349  0.10478877  0.32747559
